Ион;Заряд -;H;Li;K;Na;NH4;Mg;Ca;Ba;Sr;Al;Cr;Fe;Fe;Zn;Ag;Pb;Cu;Hg;Hg;Mn;Sn;Ni;Со;Be
Заряд +;;1;1;1;1;1;2;2;2;2;3;3;2;3;2;1;2;2;1;2;2;2;2;2;2
OH;1;None; True; True; True; True;False;True; True;False;False;False;False;False;False;None;False;False;None;None;False;False;False;False;False
F;1; True;False; True; True; True;False;False;False;False;False; True;False;False; True; True;False; True;None;None; True; True; True; True;True
Cl;1; True; True; True; True; True; True; True; True; True; True;False; True; True; True;False;False; True;False; True; True;None; True; True;True
Br;1; True; True; True; True; True; True; True; True; True; True; True; True; True; True;False;False; True;False;False; True;None; True; True;True
I;1; True; True; True; True; True; True; True; True; True; True; True; True;None; True;False;False;None;False;False; True;False; True; True;True
S;2; True; True; True; True; True;None;None; True;False;None;None;False;None;False;False;False;False;None;False;False;False;False;False;None
SO3;2; True; True; True; True; True;False;False;False;False;None;None;None;None;False;False;False;None;None;False;False;None;False;False;None
SO4;2; True; True; True; True; True; True;False;False;False; True; True; True; True; True;False;False; True;False;None; True;None; True; True;True
PO4;3; True;False; True; True;None;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
CO3;2; True; True; True; True; True;False;False;False;False;None;None;False;None;False;False;False;None;False;None;False;None;False;False;None
SiO3;2;False;False; True; True;None;None;False;False;False;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
NO3;1; True; True; True; True; True; True; True; True; True; True; True; True; True; True; True; True; True;None; True; True; True; True; True;True
CH3COO;1; True; True; True; True; True; True; True; True; True;None; True; True;None; True; True; True; True;False; True; True; True; True; True;None
CrO4;2; True; True; True; True; True; True;False;False;False;None;None;None;None;False;False;False;False;False;False;False;None;False;False;False
ClO4;1; True; True; True; True; True; True; True; True; True; True; True; True; True; True; True; True; True; True; True; True; True; True; True;True
NO2;1;True;True;True;True;True;True;True;True;True;True;None;True;None;True;False;True;True;False;None;False;False;True;False;None
